sim,seed,dist_size,k,n_rep,naive_mean,jackknife_mean,bootstrap_mean,naive_t_test,bootstrap_t_test
2,42,500,7,50,0.06992145844804287,0.02321026456738059,0.04455687517308144,"Ttest_relResult(statistic=22.92321649700696, pvalue=7.601122450414976e-28)","Ttest_relResult(statistic=13.995404044787355, pvalue=9.590213327037283e-19)"
2,42,500,7,100,0.06710486025985979,0.018739544528894876,0.040574056133458596,"Ttest_relResult(statistic=31.492659719729133, pvalue=2.1830347323929574e-53)","Ttest_relResult(statistic=17.47531067865154, pvalue=5.130089083010457e-32)"
2,42,500,7,200,0.06707998354302408,0.01818103911806163,0.039933003606925546,"Ttest_relResult(statistic=44.98060984705904, pvalue=3.176954906142462e-106)","Ttest_relResult(statistic=25.16780938952848, pvalue=9.386206024347426e-64)"
1,42,500,14,10,0.022020732961409252,-0.010183825300186817,0.004991611264868506,"Ttest_relResult(statistic=15.691187715814065, pvalue=7.623734949714164e-08)","Ttest_relResult(statistic=9.919282962097048, pvalue=3.827790236465726e-06)"
1,42,500,14,50,0.01898228526216401,-0.008510068107707373,0.003218231219887868,"Ttest_relResult(statistic=19.136188586345263, pvalue=2.2050783923281742e-24)","Ttest_relResult(statistic=11.61568230851723, pvalue=1.1092208361001312e-15)"
1,42,500,14,100,0.020908448743512404,-0.003957402371407184,0.006036565866468688,"Ttest_relResult(statistic=19.328699119770278, pvalue=2.2361632753115748e-35)","Ttest_relResult(statistic=11.813630617272834, pvalue=1.2856850990633189e-20)"
1,42,500,14,200,0.022735068849416874,-0.0009800974089783996,0.008432586759567566,"Ttest_relResult(statistic=26.45144906527554, pvalue=4.549093692865751e-67)","Ttest_relResult(statistic=14.996514307893456, pvalue=1.6268642700626468e-34)"
2,42,500,14,10,0.03251395135472229,-0.00045641567651353296,0.015349150203584423,"Ttest_relResult(statistic=15.924491072753682, pvalue=6.703541541278019e-08)","Ttest_relResult(statistic=10.241021946617783, pvalue=2.933759762144533e-06)"
2,42,500,14,50,0.029444197043068155,0.0012195515928380563,0.01335537309990899,"Ttest_relResult(statistic=19.4799800056733, pvalue=1.017812934199039e-24)","Ttest_relResult(statistic=11.95816176200726, pvalue=3.8440798405362964e-16)"
2,42,500,14,100,0.031408190391312214,0.005829981298916297,0.016201724634052218,"Ttest_relResult(statistic=19.710559908466237, pvalue=4.787999577459628e-36)","Ttest_relResult(statistic=12.137002496623717, pvalue=2.6161696792086198e-21)"
2,42,500,14,200,0.03326120624505243,0.008847899811896315,0.01862911532683138,"Ttest_relResult(statistic=26.993455039323358, pvalue=1.928095652530526e-68)","Ttest_relResult(statistic=15.346067711139314, pvalue=1.376825488341411e-35)"
1,42,500,28,10,0.035251136113420525,0.02584744333194519,0.028712028485270723,"Ttest_relResult(statistic=3.7940950308658974, pvalue=0.004255791098135833)","Ttest_relResult(statistic=1.5489066544023686, pvalue=0.15581288848676153)"
1,42,500,28,50,0.012414072382020813,0.0017815079489332353,0.006275554294824717,"Ttest_relResult(statistic=9.33305359453131, pvalue=1.8909953780276883e-12)","Ttest_relResult(statistic=5.766764292539695, pvalue=5.3425940045477e-07)"
1,42,500,28,100,0.010431411311063763,-8.869455690226846e-05,0.004093045380082095,"Ttest_relResult(statistic=13.243655141737161, pvalue=1.2083095027987567e-23)","Ttest_relResult(statistic=7.664886910329192, pvalue=1.2443004176296765e-11)"
1,42,500,28,200,0.011082711244129182,-0.0008682596246106922,0.004152432409827112,"Ttest_relResult(statistic=19.317139504957126, pvalue=1.6111645597940118e-47)","Ttest_relResult(statistic=11.65186098897366, pvalue=2.944193128285747e-24)"
2,42,500,28,10,0.0417702335218093,0.03215774934750333,0.03510888691198956,"Ttest_relResult(statistic=3.8508596741064007, pvalue=0.0039011840286109277)","Ttest_relResult(statistic=1.6216971762561088, pvalue=0.13931812439512076)"
